,Layer,Huntington_disease nodes,Orthostatic_hypotension nodes,sAB
0,coex_KDN,35,31,-0.0005166876134619081
1,coex_BST,24,20,-0.2681818181818183
2,coex_OVR,23,23,0.021739130434782705
3,coex_LNG,30,23,0.17365326770577028
4,coex_ITI,38,31,-0.11583745478703777
5,coex_VGN,30,28,0.039408866995073843
6,coex_HRV,18,11,-0.43124522536287246
7,coex_MSG,30,29,0.0155464640561076
8,coex_ADV,21,21,-0.09732868757259006
9,coex_EMS,29,23,-0.0013262599469494596
10,coex_SMU,24,19,-0.01050591595267214
11,coex_ARG,27,23,0.08252593966879673
12,coex_TST,31,30,-0.21224219989423587
13,coex_PIT,32,31,0.018193164362519054
14,coex_LVR,25,24,-0.10416666666666652
15,coex_THY,28,21,-0.18419312169312185
16,coex_PNC,25,25,0.20000000000000018
17,coex_ATC,26,25,0.06000000000000005
18,coex_BRO,33,31,0.08987047898338218
19,coex_SKN,31,22,0.125089913130084
20,coex_ADS,25,19,-0.030222693531283262
21,coex_GEJ,28,24,-0.1690328305235136
22,coex_BRB,22,23,0.1835439838220423
23,coex_UTR,20,20,0.20897435897435912
24,coex_STM,32,29,-0.017691845675522844
25,coex_HRA,25,21,-0.08154834761321883
26,coex_PRS,23,18,0.028535353535353414
27,coex_ATA,24,25,0.5184848484848485
28,coex_FIB,24,18,0.13789682539682535
29,coex_BRC,30,24,-0.048611111111111605
30,coex_ATT,27,22,0.3670377241805811
31,coex_TNV,20,22,0.14580369843527752
32,coex_SPL,26,24,0.11756410256410277
33,coex_LCL,19,20,-0.3267113863089097
34,coex_CLS,31,27,0.014132553606237774
35,coex_EMC,27,25,-0.1792307692307693
36,coex_CLT,34,29,-0.11795934877136238
37,coex_core,32,29,-0.03705357142857135
38,coex_WBL,27,23,0.1066344605475038
39,co-essential,7,6,-0.4716117216117217
40,GOBP,7,17,0.19583333333333375
41,ppi,48,49,0.11280156392453877
42,reactome_copathway,15,20,-0.31795634920634885
43,MP,11,15,0.8756038647342992
44,HP,29,40,0.34424037981009503
45,GI_net,16,23,-0.10786435786435788
46,gene_gene_on_CbG_name_mapped,19,16,-0.16057330827067684
47,gene_gene_on_GcG_name_mapped,37,31,-0.03559230872663699
48,GOMF,4,6,
