,Layer,Eczematoid_dermatitis nodes,Emphysema nodes,sAB
0,coex_KDN,43,37,0.12567811934900552
1,coex_BST,19,22,0.050375939849624185
2,coex_OVR,32,29,-0.06420470604861528
3,coex_LNG,33,36,0.14207290294246855
4,coex_ITI,30,35,0.06703296703296702
5,coex_VGN,36,34,-0.07180500658761524
6,coex_HRV,13,32,0.47512970900067675
7,coex_MSG,35,38,-0.013028895768833815
8,coex_ADV,21,22,-0.07500000000000018
9,coex_EMS,27,28,0.02009379509379494
10,coex_SMU,25,26,0.10166666666666657
11,coex_ARG,25,25,-0.15409420289855102
12,coex_TST,31,33,-0.08217253176930583
13,coex_PIT,26,31,-0.021167994427756964
14,coex_LVR,26,37,0.14957264957264949
15,coex_THY,28,27,0.2871933621933622
16,coex_PNC,23,31,0.006259415095319909
17,coex_ATC,28,33,0.2214267972464694
18,coex_BRO,24,29,-0.17317284753849504
19,coex_SKN,34,35,0.05882352941176472
20,coex_ADS,27,29,0.07792829775588395
21,coex_GEJ,31,29,-0.05394088669950703
22,coex_BRB,18,23,-0.07148829431438108
23,coex_UTR,18,20,0.21775025799793646
24,coex_STM,26,36,-0.10297766749379633
25,coex_HRA,19,30,0.1250805585392052
26,coex_PRS,28,29,0.11993345432546887
27,coex_ATA,26,24,0.1420512820512818
28,coex_FIB,18,25,-0.059570779531324725
29,coex_BRC,18,32,0.01700680272108812
30,coex_ATT,27,32,0.1815018315018313
31,coex_TNV,16,23,0.5334928229665072
32,coex_SPL,33,32,0.13893502331002328
33,coex_LCL,17,21,-0.11624649859943981
34,coex_CLS,26,34,0.033363726790450965
35,coex_EMC,35,33,0.3098347547974414
36,coex_CLT,32,32,0.09677419354838701
37,coex_core,39,38,0.1567275777802093
38,coex_WBL,33,29,0.1050830889540566
39,co-essential,7,7,0.07142857142857162
40,GOBP,22,12,1.26271645021645
41,ppi,50,49,0.2127932385075244
42,reactome_copathway,22,28,0.47311783960720133
43,MP,14,16,1.0379120879120882
44,HP,44,35,0.2653871445010685
45,GI_net,19,19,-0.2777777777777781
46,gene_gene_on_CbG_name_mapped,7,16,0.26028726708074523
47,gene_gene_on_GcG_name_mapped,33,35,-0.07560478736949316
48,GOMF,6,5,
