,Layer,Colon_cancer nodes,Carcinoma_of_pancreas nodes,sAB
0,coex_KDN,44,42,-0.3769792617712273
1,coex_BST,34,35,-0.5960723419802703
2,coex_OVR,28,37,-0.6030591030591028
3,coex_LNG,39,40,-0.5818119117169749
4,coex_ITI,40,39,-0.45516877637130815
5,coex_VGN,40,40,-0.5374999999999999
6,coex_HRV,19,18,-0.75
7,coex_MSG,41,42,-0.3863607741068804
8,coex_ADV,29,33,-0.5687969798092152
9,coex_EMS,34,34,-0.31516880836459427
10,coex_SMU,31,29,-0.5994623655913978
11,coex_ARG,29,29,-0.4310344827586208
12,coex_TST,39,39,-0.41025641025641035
13,coex_PIT,38,36,-0.48611111111111116
14,coex_LVR,38,33,-0.7943369948558976
15,coex_THY,32,32,-1.1428651433691757
16,coex_PNC,36,35,-0.6142857142857143
17,coex_ATC,36,38,-0.582516339869281
18,coex_BRO,30,35,-0.5485347985347981
19,coex_SKN,38,41,-0.39703612225995677
20,coex_ADS,25,26,-1.117345399698341
21,coex_GEJ,34,35,-0.5365031388049291
22,coex_BRB,21,20,-0.8080720092915215
23,coex_UTR,30,31,-0.4500000000000002
24,coex_STM,40,39,-0.5293654657578708
25,coex_HRA,32,32,-0.6638664874551972
26,coex_PRS,33,36,-0.7295234958278436
27,coex_ATA,34,29,-0.6527514231499048
28,coex_FIB,31,31,-0.596774193548387
29,coex_BRC,34,34,-0.33823529411764697
30,coex_ATT,33,31,-0.9827908986175118
31,coex_TNV,18,21,-0.8671566303145255
32,coex_SPL,35,34,-0.7815430520034101
33,coex_LCL,28,28,-0.5686350686350687
34,coex_CLS,42,38,-0.4039473684210526
35,coex_EMC,38,38,-0.40368215058193413
36,coex_CLT,39,39,-0.2165991902834008
37,coex_core,40,40,-0.3500000000000001
38,coex_WBL,35,32,-0.6137993070362473
39,co-essential,19,19,-0.9191176470588236
40,GOBP,8,11,-0.3166666666666669
41,ppi,49,49,-0.20408163265306123
42,reactome_copathway,38,32,-0.4100125680770843
43,MP,16,15,-0.03990147783251219
44,HP,34,34,-0.41618777768909476
45,GI_net,28,31,-0.4363490297861822
46,gene_gene_on_CbG_name_mapped,15,13,-0.33315018315018297
47,gene_gene_on_GcG_name_mapped,35,33,-0.32500636618283685
48,GOMF,2,3,
