,Layer,Precocious_puberty nodes,Neoplasm_of_the_pancreas nodes,sAB
0,coex_KDN,39,41,-0.08812539086929316
1,coex_BST,29,27,-0.13523028695442485
2,coex_OVR,26,26,-0.2884615384615383
3,coex_LNG,36,37,-0.01388888888888884
4,coex_ITI,36,41,0.0545321637426901
5,coex_VGN,37,31,-0.10860813375044875
6,coex_HRV,13,22,-0.341090282266753
7,coex_MSG,35,38,-0.11457925636007826
8,coex_ADV,32,27,-0.025116047745358028
9,coex_EMS,33,31,-0.007575757575757347
10,coex_SMU,32,25,-0.11789473684210527
11,coex_ARG,35,19,-0.17125708277352647
12,coex_TST,40,35,-0.10023809523809502
13,coex_PIT,36,32,-0.16415911513859283
14,coex_LVR,29,28,-0.19141604010025048
15,coex_THY,35,28,-0.35331390620764447
16,coex_PNC,29,29,-0.0344827586206895
17,coex_ATC,35,32,-0.09535104364326363
18,coex_BRO,36,26,-0.006823821339950298
19,coex_SKN,35,30,0.09871794871794881
20,coex_ADS,22,27,0.5191408007197476
21,coex_GEJ,33,28,0.03956043956043942
22,coex_BRB,25,21,0.14679089026915126
23,coex_UTR,31,25,-0.07444700460829523
24,coex_STM,37,36,0.05688736681887363
25,coex_HRA,29,25,-0.15527458492975743
26,coex_PRS,27,30,-0.11118881118881108
27,coex_ATA,31,23,-0.21210584547298517
28,coex_FIB,30,26,-0.25457875457875456
29,coex_BRC,34,24,-0.3638438133874238
30,coex_ATT,33,25,-0.4315476190476186
31,coex_TNV,20,25,0.22335271317829486
32,coex_SPL,30,30,-0.016647184882135235
33,coex_LCL,20,20,-0.281140350877193
34,coex_CLS,34,35,-0.08799780781877953
35,coex_EMC,32,29,-0.07380952380952377
36,coex_CLT,33,38,-0.0038844038844039197
37,coex_core,38,39,0.16004741583688942
38,coex_WBL,29,30,0.0194127560280013
39,co-essential,11,15,-0.2884615384615383
40,GOBP,14,10,-0.00974025974026027
41,ppi,50,50,-0.06000000000000005
42,reactome_copathway,24,27,-0.03148936170212746
43,MP,10,8,-0.6875
44,HP,47,28,0.2659017223910842
45,GI_net,19,31,-0.20029624753127062
46,gene_gene_on_CbG_name_mapped,10,15,0.16333333333333333
47,gene_gene_on_GcG_name_mapped,36,34,-0.21407563025210097
48,GOMF,7,2,
