,Layer,Sinusitis nodes,Cholangitis nodes,sAB
0,coex_KDN,39,38,-0.29648648648648646
1,coex_BST,21,20,-0.361591478696742
2,coex_OVR,26,25,-0.5800000000000003
3,coex_LNG,41,29,-0.3514808362369335
4,coex_ITI,34,36,-0.2256769374416434
5,coex_VGN,27,27,-0.3816051174541739
6,coex_HRV,21,22,-0.49686147186147167
7,coex_MSG,35,32,-0.4289645522388059
8,coex_ADV,23,25,-0.2203557312252966
9,coex_EMS,19,22,-1.0864661654135341
10,coex_SMU,26,26,-0.5199999999999998
11,coex_ARG,19,21,-0.617167919799499
12,coex_TST,36,31,-0.19124137377627992
13,coex_PIT,31,29,-0.11681703950891942
14,coex_LVR,26,30,-0.3181818181818181
15,coex_THY,33,26,-0.493777409031646
16,coex_PNC,25,26,-0.10184012066365011
17,coex_ATC,33,25,-0.4087918660287082
18,coex_BRO,32,26,-0.43260941644562356
19,coex_SKN,27,26,-0.410603318250377
20,coex_ADS,30,27,-0.6573306004340489
21,coex_GEJ,29,28,-0.8856960408684544
22,coex_BRB,28,22,-0.29244829244829273
23,coex_UTR,18,17,-0.7752567693744166
24,coex_STM,33,31,-0.2644031036168133
25,coex_HRA,19,23,0.08495345823023426
26,coex_PRS,26,25,-0.6612820512820512
27,coex_ATA,25,21,-0.5480158730158728
28,coex_FIB,19,18,-0.3060715514275887
29,coex_BRC,22,28,-0.5872844087129803
30,coex_ATT,29,22,-0.6445460942997887
31,coex_TNV,19,17,-0.8528011204481796
32,coex_SPL,32,33,-0.5981351981351981
33,coex_LCL,23,14,-0.5339105339105341
34,coex_CLS,28,31,-0.2722906403940888
35,coex_EMC,33,24,-0.3901515151515149
36,coex_CLT,31,30,-0.47615899876608503
37,coex_core,35,35,-0.10095603458774804
38,coex_WBL,35,26,-0.38142857142857145
39,co-essential,5,9,-1.138095238095238
40,GOBP,18,21,1.8520235247208934
41,ppi,48,48,-0.0625
42,reactome_copathway,18,23,0.4182449494949496
43,MP,13,11,-0.0061872909698994505
44,HP,44,33,-0.0714285714285714
45,GI_net,23,22,-0.6946640316205535
46,gene_gene_on_CbG_name_mapped,8,14,-0.24350649350649367
47,gene_gene_on_GcG_name_mapped,24,28,0.004807692307692291
48,GOMF,4,4,
