,Layer,Purpura nodes,Pulmonary_arterial_hypertension nodes,sAB
0,coex_KDN,39,44,0.031486084196927555
1,coex_BST,20,28,-0.3773809523809526
2,coex_OVR,27,37,-0.2725381631631629
3,coex_LNG,36,43,0.37561050061050016
4,coex_ITI,38,40,-0.11476045883940622
5,coex_VGN,26,39,-0.1410256410256412
6,coex_HRV,16,18,0.09292929292929264
7,coex_MSG,31,37,-0.10824914098158889
8,coex_ADV,24,27,0.2649275362318839
9,coex_EMS,24,30,-0.20277777777777795
10,coex_SMU,26,32,-0.16445623342175075
11,coex_ARG,25,33,-0.32440092165898626
12,coex_TST,29,41,-0.24390243902439024
13,coex_PIT,28,40,-0.11241184188945375
14,coex_LVR,29,38,-0.026023391812865393
15,coex_THY,34,36,-0.0937441643323993
16,coex_PNC,21,36,0.19402673350041777
17,coex_ATC,33,33,-0.017948717948718107
18,coex_BRO,29,35,0.03308189655172411
19,coex_SKN,29,35,-0.09841269841269829
20,coex_ADS,25,26,-0.1792307692307693
21,coex_GEJ,28,25,0.061730769230769145
22,coex_BRB,20,24,-0.03446969696969715
23,coex_UTR,18,27,-0.18333333333333357
24,coex_STM,30,36,-0.21489898989899014
25,coex_HRA,23,27,-0.14370370370370367
26,coex_PRS,29,34,-0.0031391867091659087
27,coex_ATA,29,30,-0.3695791934541206
28,coex_FIB,23,29,-0.2388132856648597
29,coex_BRC,23,39,0.05287745041843417
30,coex_ATT,30,34,-0.23112745098039245
31,coex_TNV,13,22,-0.1439393939393936
32,coex_SPL,39,39,0.06072874493927127
33,coex_LCL,27,21,-0.36722222222222234
34,coex_CLS,31,35,-0.20061274509803928
35,coex_EMC,30,36,-0.2007575757575759
36,coex_CLT,34,37,-0.11232338386439467
37,coex_core,40,44,0.1430605247465715
38,coex_WBL,42,32,0.20014880952380953
39,co-essential,7,11,0.8611111111111107
40,GOBP,21,20,1.1912655971479498
41,ppi,49,49,0.20408163265306123
42,reactome_copathway,21,20,0.3880867709815079
43,MP,16,7,1.2798913043478262
44,HP,47,49,0.3627072339233175
45,GI_net,14,19,-0.4404761904761907
46,gene_gene_on_CbG_name_mapped,11,8,-0.28199760765550264
47,gene_gene_on_GcG_name_mapped,32,25,-0.13101973684210533
48,GOMF,1,4,
