,Layer,Hepatocellular_carcinoma nodes,Skin_ulcer nodes,sAB
0,coex_KDN,22,36,-0.07497387669801459
1,coex_BST,15,27,0.18996247654784248
2,coex_OVR,16,35,0.19238095238095276
3,coex_LNG,17,32,0.3515227367542759
4,coex_ITI,22,33,-0.1515151515151516
5,coex_VGN,21,35,-0.1678571428571427
6,coex_HRV,9,20,-0.09461152882205504
7,coex_MSG,20,35,0.0012987012987011326
8,coex_ADV,13,23,0.14658385093167725
9,coex_EMS,14,33,0.44031444099378847
10,coex_SMU,16,30,0.2144021739130435
11,coex_ARG,18,28,0.05402059813824556
12,coex_TST,23,35,-0.03176269008352972
13,coex_PIT,17,30,0.08237380058406352
14,coex_LVR,27,31,0.30110837438423665
15,coex_THY,16,27,-0.14548992673992656
16,coex_PNC,18,30,0.1822776554984924
17,coex_ATC,18,28,-0.2851554763319468
18,coex_BRO,14,28,-0.14285714285714324
19,coex_SKN,20,37,0.16453295400663803
20,coex_ADS,14,30,0.10081338068507284
21,coex_GEJ,16,32,0.19270833333333348
22,coex_BRB,10,24,-0.45237154150197645
23,coex_UTR,13,26,0.0
24,coex_STM,20,34,0.03877995642701526
25,coex_HRA,17,25,0.19833333333333325
26,coex_PRS,17,33,0.13458508403361336
27,coex_ATA,15,28,0.15450380694283128
28,coex_FIB,18,24,0.016865079365079527
29,coex_BRC,18,26,0.1468531468531471
30,coex_ATT,15,27,0.24996773777261572
31,coex_TNV,8,20,0.48598927875243625
32,coex_SPL,26,31,0.2752927604370732
33,coex_LCL,14,25,-0.005641025641025532
34,coex_CLS,20,30,-0.13055555555555576
35,coex_EMC,21,35,0.26666666666666683
36,coex_CLT,23,28,-0.003120813542808465
37,coex_core,21,36,0.34090909090909083
38,coex_WBL,21,30,-0.0025686136523574987
39,co-essential,16,11,0.32727272727272716
40,GOBP,8,20,0.8883747831116255
41,ppi,49,50,0.16126984126984123
42,reactome_copathway,28,26,0.1147474747474746
43,MP,12,11,0.16893939393939394
44,HP,27,49,0.3744778613199664
45,GI_net,21,23,0.023809523809523725
46,gene_gene_on_CbG_name_mapped,17,7,0.0070028011204483764
47,gene_gene_on_GcG_name_mapped,29,31,-0.030496848350018313
48,GOMF,6,3,
