,Layer,Intermittent_claudication nodes,Renal_insufficiency nodes,sAB
0,coex_KDN,41,44,-0.002112951610799607
1,coex_BST,28,16,0.2495941558441559
2,coex_OVR,30,21,-0.3640056022408966
3,coex_LNG,36,22,0.18787008011145945
4,coex_ITI,36,27,0.06727322856355111
5,coex_VGN,30,25,-0.0585691823899368
6,coex_HRV,20,12,-0.15879765395894418
7,coex_MSG,35,31,-0.04611087836894279
8,coex_ADV,28,18,0.14814814814814836
9,coex_EMS,30,19,-0.04240959541711442
10,coex_SMU,30,16,-0.022826086956521774
11,coex_ARG,31,19,-0.07083333333333308
12,coex_TST,34,31,-0.050379506641366145
13,coex_PIT,32,25,0.16768640350877195
14,coex_LVR,41,25,-0.015018477457501733
15,coex_THY,31,19,-0.19772495755517872
16,coex_PNC,34,21,0.08649237472766869
17,coex_ATC,33,25,0.1448693834900734
18,coex_BRO,33,23,-0.08484848484848495
19,coex_SKN,33,24,0.13183053359683794
20,coex_ADS,29,18,0.1415708812260532
21,coex_GEJ,28,20,0.10505127553182492
22,coex_BRB,20,20,-0.3946508427932578
23,coex_UTR,26,17,0.08465747658634104
24,coex_STM,34,22,-0.03046218487394947
25,coex_HRA,30,17,-0.3337883141762452
26,coex_PRS,31,19,-0.32477507131884975
27,coex_ATA,31,23,0.35276379129087587
28,coex_FIB,32,17,-0.3978563199473337
29,coex_BRC,36,20,-0.08474025974025956
30,coex_ATT,31,20,-0.058333333333333126
31,coex_TNV,15,18,0.0904761904761906
32,coex_SPL,38,22,-0.278548644338118
33,coex_LCL,27,13,-0.4435897435897438
34,coex_CLS,31,27,0.02045997610513739
35,coex_EMC,31,20,-0.32490512333965826
36,coex_CLT,34,27,-0.10644067796610157
37,coex_core,35,23,-0.2751322751322749
38,coex_WBL,35,18,-0.24276018099547514
39,co-essential,11,5,-0.3761363636363635
40,GOBP,14,11,0.9476190476190474
41,ppi,50,50,-0.09000000000000008
42,reactome_copathway,25,14,-0.508104575163399
43,MP,18,16,-0.2054738562091507
44,HP,29,44,0.1888016919311204
45,GI_net,26,12,0.22459459459459463
46,gene_gene_on_CbG_name_mapped,17,12,-0.03718728870858712
47,gene_gene_on_GcG_name_mapped,37,33,-0.23678483678483708
48,GOMF,6,1,
