,Layer,Rhinitis nodes,Otitis_media nodes,sAB
0,coex_KDN,30,35,0.008517156862745123
1,coex_BST,18,27,0.26124031007751913
2,coex_OVR,20,32,-0.006971153846153655
3,coex_LNG,37,43,-0.051233931900696916
4,coex_ITI,22,32,0.058133417508417606
5,coex_VGN,22,30,-0.11993006993007027
6,coex_HRV,18,21,-0.05388471177944876
7,coex_MSG,26,42,-0.1255985550670664
8,coex_ADV,20,29,0.09958406654935237
9,coex_EMS,23,27,0.15291465378421876
10,coex_SMU,19,27,0.031104330875497688
11,coex_ARG,20,21,-0.12389663182346133
12,coex_TST,33,35,0.08735676088617272
13,coex_PIT,33,36,-0.026661573720397236
14,coex_LVR,22,32,0.0341435185185186
15,coex_THY,19,32,0.3524090557275539
16,coex_PNC,24,27,-0.2855269197980195
17,coex_ATC,23,34,0.3013750954927428
18,coex_BRO,37,35,-0.0023343558969075584
19,coex_SKN,23,31,0.14172494172494154
20,coex_ADS,17,30,0.2822595704948645
21,coex_GEJ,24,35,0.12272408963585413
22,coex_BRB,30,30,-0.15517241379310365
23,coex_UTR,20,19,0.11138770349296623
24,coex_STM,27,33,-0.12037037037037046
25,coex_HRA,18,26,-0.01884920634920606
26,coex_PRS,22,34,0.16396103896103886
27,coex_ATA,20,31,0.261063372717508
28,coex_FIB,17,24,-0.28286445012787764
29,coex_BRC,21,29,-0.2574384236453202
30,coex_ATT,21,29,0.10942528735632173
31,coex_TNV,16,22,0.18538083538083505
32,coex_SPL,22,31,-0.048940408343938646
33,coex_LCL,13,19,-0.1800766283524904
34,coex_CLS,23,30,0.014848345058239953
35,coex_EMC,21,33,-0.05270154373927971
36,coex_CLT,23,33,0.08181818181818157
37,coex_core,25,36,0.06726190476190474
38,coex_WBL,19,30,0.005873379099923692
39,co-essential,3,8,-0.41666666666666696
40,GOBP,23,14,-0.1701969528056484
41,ppi,46,49,-0.10470975575584918
42,reactome_copathway,14,26,-0.6599283154121864
43,MP,11,14,-0.5096103896103896
44,HP,33,35,0.1346941761779339
45,GI_net,20,26,-0.1429374718848404
46,gene_gene_on_CbG_name_mapped,9,8,-0.3415032679738561
47,gene_gene_on_GcG_name_mapped,27,26,-0.0583508036338225
48,GOMF,1,6,
