,Layer,Migraine nodes,Nasal_congestion nodes,sAB
0,coex_KDN,27,29,-0.19585841999635134
1,coex_BST,21,17,0.3648090815273477
2,coex_OVR,21,23,0.12342367777150409
3,coex_LNG,23,28,-0.33874396135265705
4,coex_ITI,22,27,0.13091802377516681
5,coex_VGN,23,25,0.1019565217391305
6,coex_HRV,13,17,-0.3465683023872681
7,coex_MSG,24,30,0.18194444444444446
8,coex_ADV,18,21,-0.21819187608661306
9,coex_EMS,20,24,0.28295454545454524
10,coex_SMU,18,20,-0.12383040935672485
11,coex_ARG,19,17,-0.011111111111111072
12,coex_TST,24,32,0.1696428571428572
13,coex_PIT,24,30,0.0009259259259257746
14,coex_LVR,25,28,0.1672641509433963
15,coex_THY,19,19,-0.053856488067014485
16,coex_PNC,18,23,0.2532697066101095
17,coex_ATC,23,25,-0.10036231884057978
18,coex_BRO,24,29,0.07045651702450684
19,coex_SKN,21,24,0.1304347826086958
20,coex_ADS,19,28,0.09764437689969618
21,coex_GEJ,18,22,0.2264705882352942
22,coex_BRB,19,22,0.011616161616161857
23,coex_UTR,18,13,0.04479638009049758
24,coex_STM,25,29,0.1732567049808429
25,coex_HRA,16,22,-0.37005308880308885
26,coex_PRS,17,25,0.025434173669467874
27,coex_ATA,20,22,-0.2182900432900432
28,coex_FIB,14,20,-0.2663865546218491
29,coex_BRC,21,27,0.22995090016366593
30,coex_ATT,21,23,0.29842444377328103
31,coex_TNV,12,20,0.2437499999999999
32,coex_SPL,20,25,-0.1933333333333329
33,coex_LCL,7,13,-0.14755639097744355
34,coex_CLS,24,25,0.4166666666666665
35,coex_EMC,24,24,0.10682624113475203
36,coex_CLT,25,28,0.20301282051282055
37,coex_core,24,27,0.10416666666666674
38,coex_WBL,18,22,0.3203071438365557
39,co-essential,7,8,-0.7190476190476196
40,GOBP,20,15,1.2938844086021506
41,ppi,42,50,0.14287784679089022
42,reactome_copathway,25,21,1.1019846963175515
43,MP,12,15,0.413896103896104
44,HP,37,36,0.13888888888888884
45,GI_net,19,20,0.04354354354354362
46,gene_gene_on_CbG_name_mapped,9,17,0.24710910005027653
47,gene_gene_on_GcG_name_mapped,25,28,-0.20301886792452817
48,GOMF,7,5,
