,Layer,beta_Thalassemia nodes,Absence_seizure nodes,sAB
0,coex_KDN,29,32,-0.11806635104578889
1,coex_BST,20,23,0.0026315789473685403
2,coex_OVR,25,19,-0.015350877192982448
3,coex_LNG,30,21,-0.07619047619047592
4,coex_ITI,24,29,0.09860930383864686
5,coex_VGN,27,26,0.03846153846153855
6,coex_HRV,15,12,0.07272727272727275
7,coex_MSG,28,25,0.14036388140161726
8,coex_ADV,22,16,-0.1360389610389614
9,coex_EMS,20,23,0.14059656218402417
10,coex_SMU,19,19,0.10526315789473673
11,coex_ARG,21,28,-0.07993197278911546
12,coex_TST,24,35,-0.06316585956416465
13,coex_PIT,25,30,0.13181818181818183
14,coex_LVR,31,23,0.23180246611388178
15,coex_THY,21,20,-6.747638326576322e-05
16,coex_PNC,23,22,-0.152415458937198
17,coex_ATC,20,25,-0.16555555555555568
18,coex_BRO,27,42,-0.07046070460704623
19,coex_SKN,23,22,-0.0681818181818179
20,coex_ADS,19,24,0.11518257853937186
21,coex_GEJ,21,25,-0.052810077519379384
22,coex_BRB,18,34,-0.27154411764705877
23,coex_UTR,19,17,0.010921912624699104
24,coex_STM,23,30,-0.10802570412906753
25,coex_HRA,20,23,-0.12044994944388243
26,coex_PRS,24,22,-0.14896245059288526
27,coex_ATA,17,21,0.11263910969793267
28,coex_FIB,19,18,0.044277360066833804
29,coex_BRC,26,36,-0.14190476190476176
30,coex_ATT,19,23,-0.1349122186874041
31,coex_TNV,13,22,-0.2376012145748989
32,coex_SPL,34,24,0.2851874003189794
33,coex_LCL,12,13,0.2215085638998684
34,coex_CLS,23,27,-0.1585185185185185
35,coex_EMC,26,21,-0.012332112332112732
36,coex_CLT,24,27,-0.127859477124183
37,coex_core,30,27,0.11703703703703727
38,coex_WBL,36,17,-0.02857142857142847
39,co-essential,10,6,-0.32222222222222197
40,GOBP,23,25,1.1009513742071881
41,ppi,50,50,0.20000000000000018
42,reactome_copathway,16,17,0.08351648351648366
43,MP,16,14,1.3661172161172157
44,HP,36,32,0.9040032679738561
45,GI_net,16,17,0.009469696969696795
46,gene_gene_on_CbG_name_mapped,13,28,-0.12041007772715084
47,gene_gene_on_GcG_name_mapped,30,35,0.025824175824175954
48,GOMF,2,1,
