,Layer,Disorder_of_orbital_region nodes,Optic_neuritis nodes,sAB
0,coex_KDN,33,36,-0.1374066754501535
1,coex_BST,27,25,-0.015761689291101
2,coex_OVR,20,26,0.09790969899665547
3,coex_LNG,29,32,-0.08639238270209182
4,coex_ITI,29,31,-0.035372636262513746
5,coex_VGN,25,30,0.08090909090909082
6,coex_HRV,9,12,-0.027777777777778123
7,coex_MSG,29,33,0.037819799777530694
8,coex_ADV,19,25,-0.0915876648142091
9,coex_EMS,19,26,0.11105943152454811
10,coex_SMU,21,27,0.04893617021276597
11,coex_ARG,20,25,-0.06055555555555525
12,coex_TST,31,28,-0.04595602593142223
13,coex_PIT,30,29,-0.0014124293785309217
14,coex_LVR,18,33,-0.0007427213309567637
15,coex_THY,20,27,-0.4237982663514579
16,coex_PNC,19,28,0.035455486542443015
17,coex_ATC,21,30,-0.11582633053221292
18,coex_BRO,30,29,-0.0028195488721802775
19,coex_SKN,20,27,-0.29372909698996663
20,coex_ADS,20,18,-0.02734313260629051
21,coex_GEJ,17,26,-0.17054878048780475
22,coex_BRB,22,17,0.014036357786357812
23,coex_UTR,20,23,-0.1126390293225481
24,coex_STM,21,29,-0.10351395730706114
25,coex_HRA,18,26,0.03399378399378428
26,coex_PRS,28,26,0.0038569048003012085
27,coex_ATA,19,25,0.12851897184822558
28,coex_FIB,19,26,-0.11709401709401712
29,coex_BRC,31,30,-0.011827956989247657
30,coex_ATT,20,25,0.10119047619047628
31,coex_TNV,17,15,0.40134408602150495
32,coex_SPL,21,34,-0.12467320261437931
33,coex_LCL,16,25,0.03665413533834583
34,coex_CLS,25,28,0.1399782135076253
35,coex_EMC,21,30,0.06148459383753502
36,coex_CLT,27,32,-0.005719496021220349
37,coex_core,24,36,0.2381023773827371
38,coex_WBL,22,33,-0.14670514670514656
39,co-essential,8,11,-0.676050420168067
40,GOBP,26,18,0.6604166666666669
41,ppi,50,49,0.0811440940012369
42,reactome_copathway,18,24,-0.08268398268398247
43,MP,24,14,0.4321741854636594
44,HP,49,27,0.6193260930103035
45,GI_net,17,21,-0.18809523809523832
46,gene_gene_on_CbG_name_mapped,10,8,0.2583333333333333
47,gene_gene_on_GcG_name_mapped,37,38,-0.05311047889995257
48,GOMF,4,7,
