,Layer,Chorea nodes,Coronary_artery_disorder nodes,sAB
0,coex_KDN,41,32,0.16865916304710993
1,coex_BST,35,20,0.08333333333333304
2,coex_OVR,37,22,-0.05250626566416061
3,coex_LNG,39,25,0.21028846153846148
4,coex_ITI,42,37,0.14517863252040453
5,coex_VGN,40,26,0.09166666666666679
6,coex_HRV,16,22,0.3616071428571428
7,coex_MSG,41,30,-0.06421046604832248
8,coex_ADV,31,19,0.4010265024262787
9,coex_EMS,36,20,0.1158730158730159
10,coex_SMU,35,18,-0.026355196166516937
11,coex_ARG,37,14,-0.1436155543298403
12,coex_TST,43,29,0.16910585404971945
13,coex_PIT,41,27,0.20028142589118203
14,coex_LVR,33,33,0.15151515151515138
15,coex_THY,32,19,0.5813582342954158
16,coex_PNC,37,22,0.2805459542747677
17,coex_ATC,35,20,0.10389610389610393
18,coex_BRO,42,23,0.33190794712533833
19,coex_SKN,39,21,0.1913919413919416
20,coex_ADS,30,24,0.24450549450549408
21,coex_GEJ,40,17,0.3444444444444441
22,coex_BRB,26,23,0.019145450822469545
23,coex_UTR,30,11,-0.03203991130820372
24,coex_STM,39,24,0.1973330503678552
25,coex_HRA,40,19,0.22078544061302674
26,coex_PRS,34,18,0.007792860734037177
27,coex_ATA,30,25,0.27154771670768385
28,coex_FIB,33,22,0.13484848484848522
29,coex_BRC,43,20,0.06722037652270219
30,coex_ATT,34,22,0.2914693149987273
31,coex_TNV,16,20,-0.26292293233082686
32,coex_SPL,36,24,0.2625000000000002
33,coex_LCL,26,9,-0.0639804639804642
34,coex_CLS,35,30,0.5079365079365079
35,coex_EMC,39,23,0.016614521523357073
36,coex_CLT,38,28,0.3056305293147399
37,coex_core,41,30,0.0947137136616567
38,coex_WBL,36,21,0.44527986633249794
39,co-essential,11,7,-0.3416666666666668
40,GOBP,20,16,0.49579831932773155
41,ppi,49,50,0.35399299113584815
42,reactome_copathway,18,20,0.6954656862745101
43,MP,12,13,0.8749999999999996
44,HP,42,20,1.3709293394777262
45,GI_net,20,10,-0.38053467000835406
46,gene_gene_on_CbG_name_mapped,12,15,0.20925925925925903
47,gene_gene_on_GcG_name_mapped,39,36,0.0901282051282053
48,GOMF,3,6,
