,Layer,West_syndrome nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,40,29,-0.08668790604697674
1,coex_BST,30,20,0.031798245614035325
2,coex_OVR,29,25,0.05104641075688576
3,coex_LNG,32,30,0.2107142857142854
4,coex_ITI,35,24,0.13852905569007268
5,coex_VGN,34,27,-0.12971342383107065
6,coex_HRV,19,15,0.2942528735632184
7,coex_MSG,33,28,0.13827088212334115
8,coex_ADV,28,22,-0.05868333793865732
9,coex_EMS,33,20,0.18813607775871954
10,coex_SMU,32,19,0.11985616615067096
11,coex_ARG,34,21,0.04624395212630539
12,coex_TST,40,24,-0.15625
13,coex_PIT,42,25,0.05010660980810244
14,coex_LVR,31,31,0.09344690982182935
15,coex_THY,30,21,-0.18290368779090604
16,coex_PNC,33,23,0.03564370412196505
17,coex_ATC,31,20,-0.06018342820999378
18,coex_BRO,40,27,0.01592851592851563
19,coex_SKN,35,23,-0.0810733384262794
20,coex_ADS,21,19,-0.18154520917678774
21,coex_GEJ,31,21,0.21153846153846168
22,coex_BRB,21,18,0.026182432432432456
23,coex_UTR,26,19,0.11207827260458858
24,coex_STM,33,23,-0.1773244871070958
25,coex_HRA,32,20,-0.015625
26,coex_PRS,28,24,0.06112637362637363
27,coex_ATA,31,17,0.25830170777988615
28,coex_FIB,28,19,-0.023579782790309256
29,coex_BRC,41,26,0.22096153846153843
30,coex_ATT,32,19,-0.07888888888888879
31,coex_TNV,18,13,-0.055957767722473406
32,coex_SPL,33,34,0.7121212121212119
33,coex_LCL,21,12,0.11093073593073566
34,coex_CLS,34,23,-0.1924664602683177
35,coex_EMC,30,26,0.1403133903133904
36,coex_CLT,34,24,-0.07568458417849899
37,coex_core,33,30,0.05224660397074188
38,coex_WBL,28,36,0.26504683840749443
39,co-essential,8,10,0.1895424836601305
40,GOBP,19,23,1.0805194805194809
41,ppi,50,50,0.19000000000000017
42,reactome_copathway,21,16,0.4173789173789171
43,MP,6,16,0.6258771929824558
44,HP,38,36,0.8320689110162796
45,GI_net,21,16,0.02380952380952417
46,gene_gene_on_CbG_name_mapped,14,13,0.1010378510378509
47,gene_gene_on_GcG_name_mapped,30,30,-0.050000000000000044
48,GOMF,4,2,
