,Layer,Hepatocellular_carcinoma nodes,Macular_degeneration nodes,sAB
0,coex_KDN,22,31,-0.07115586786919703
1,coex_BST,15,19,0.09752321981424128
2,coex_OVR,16,26,0.1701923076923073
3,coex_LNG,17,27,0.3184293919588037
4,coex_ITI,22,33,0.033333333333333215
5,coex_VGN,21,29,-0.24928571428571455
6,coex_HRV,9,15,-0.19166666666666687
7,coex_MSG,20,31,-0.016698292220113986
8,coex_ADV,13,23,0.2608695652173916
9,coex_EMS,14,24,0.46397243107769404
10,coex_SMU,16,23,0.1738782051282053
11,coex_ARG,18,23,-0.18788564376799655
12,coex_TST,23,34,-0.1026719612330056
13,coex_PIT,17,29,-0.2302672193315105
14,coex_LVR,27,29,-0.0067733990147782475
15,coex_THY,16,22,0.2040299227799225
16,coex_PNC,18,25,-0.21924603174603163
17,coex_ATC,18,26,-0.01254866884141892
18,coex_BRO,14,28,-0.07933281713769524
19,coex_SKN,20,29,0.020760028149190646
20,coex_ADS,14,24,-0.23988584858150075
21,coex_GEJ,16,23,0.05546171171171155
22,coex_BRB,10,19,-0.0819419237749548
23,coex_UTR,13,19,0.2626518218623479
24,coex_STM,20,24,-0.12765151515151518
25,coex_HRA,17,26,0.13238095238095227
26,coex_PRS,17,25,0.0845887135341945
27,coex_ATA,15,22,-0.05519480519480524
28,coex_FIB,18,22,0.005555555555555536
29,coex_BRC,18,28,0.050000000000000266
30,coex_ATT,15,24,0.009241854636591551
31,coex_TNV,8,15,-0.044642857142857206
32,coex_SPL,26,27,0.02065527065527073
33,coex_LCL,14,15,0.03571428571428559
34,coex_CLS,20,29,-0.13238770685579193
35,coex_EMC,21,26,0.07805315252123757
36,coex_CLT,23,31,-0.004545218430211495
37,coex_core,21,32,-0.12843137254901937
38,coex_WBL,21,26,-0.24531772575250832
39,co-essential,16,7,1.3222222222222224
40,GOBP,8,20,0.3477443609022557
41,ppi,49,49,0.26530612244897966
42,reactome_copathway,28,6,0.5581034482758622
43,MP,12,24,1.1805555555555554
44,HP,27,43,0.5039497969730529
45,GI_net,21,15,0.09047619047619038
46,gene_gene_on_CbG_name_mapped,17,9,0.09979889391654084
47,gene_gene_on_GcG_name_mapped,29,33,-0.03465129605285333
48,GOMF,6,7,
