,Layer,Neoplasm_of_the_large_intestine nodes,Osteosarcoma nodes,sAB
0,coex_KDN,27,42,-0.22981366459627317
1,coex_BST,19,35,-0.2157059314954053
2,coex_OVR,26,32,-0.17104608753315675
3,coex_LNG,22,37,0.00562195477449734
4,coex_ITI,27,40,0.03403263403263401
5,coex_VGN,24,37,-0.012420355640694769
6,coex_HRV,13,16,-0.30760941644562356
7,coex_MSG,25,38,-0.08859649122807012
8,coex_ADV,16,23,0.06650641025641013
9,coex_EMS,17,35,0.20246848739495804
10,coex_SMU,19,31,-0.14601018675721544
11,coex_ARG,20,34,-0.012946204122674665
12,coex_TST,32,41,-0.017201595389241486
13,coex_PIT,24,37,-0.06002621473932934
14,coex_LVR,23,38,-0.15689124807742805
15,coex_THY,17,34,-0.20588235294117618
16,coex_PNC,21,34,-0.28897377132671265
17,coex_ATC,18,36,-0.05688828990715722
18,coex_BRO,25,34,0.14813559322033942
19,coex_SKN,21,37,-0.11822660098522175
20,coex_ADS,14,31,-0.5553251408090119
21,coex_GEJ,18,35,-0.03238265002970886
22,coex_BRB,16,24,0.018092105263157965
23,coex_UTR,16,31,-0.21195092656142744
24,coex_STM,23,40,-0.06470841959972407
25,coex_HRA,19,32,-0.011432533539731615
26,coex_PRS,20,38,-0.11987295825771316
27,coex_ATA,17,30,-0.2553400083437629
28,coex_FIB,19,37,-0.05492709904474613
29,coex_BRC,23,36,0.09259600425775849
30,coex_ATT,15,36,-0.0019607843137254832
31,coex_TNV,12,21,-0.1958333333333333
32,coex_SPL,23,33,-0.10937794089968
33,coex_LCL,14,31,-0.00022912131973895633
34,coex_CLS,23,36,-0.1160648489314664
35,coex_EMC,21,33,-0.17147667147667156
36,coex_CLT,27,38,-0.22629468177855294
37,coex_core,19,40,-0.02350579839429079
38,coex_WBL,20,36,0.07420634920634916
39,co-essential,16,16,-0.4186155913978493
40,GOBP,13,9,-0.24102870813397104
41,ppi,50,50,-0.08999999999999986
42,reactome_copathway,24,29,-0.05223677032187668
43,MP,15,10,0.12222222222222223
44,HP,25,28,-0.09579514824797841
45,GI_net,24,28,0.018333333333333535
46,gene_gene_on_CbG_name_mapped,15,17,-0.18639705882352953
47,gene_gene_on_GcG_name_mapped,31,30,-0.11362594747047416
48,GOMF,2,5,
