,Layer,Renal_tubular_acidosis nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,42,27,0.15223142397055445
1,coex_BST,30,22,0.14344766119613972
2,coex_OVR,26,21,0.14957264957264949
3,coex_LNG,34,25,0.39604278074866306
4,coex_ITI,31,25,0.10838709677419356
5,coex_VGN,29,21,0.04336734693877542
6,coex_HRV,15,9,0.17777777777777803
7,coex_MSG,36,25,0.2500091074681239
8,coex_ADV,29,21,0.1331504702194357
9,coex_EMS,29,17,0.01926977687626774
10,coex_SMU,28,18,0.03390269151138736
11,coex_ARG,28,22,-0.07408814589665647
12,coex_TST,33,30,-0.05129870129870118
13,coex_PIT,35,24,0.3706521739130435
14,coex_LVR,31,23,-0.18731200437517104
15,coex_THY,27,21,0.05859213250517614
16,coex_PNC,29,18,-0.04616043042308604
17,coex_ATC,29,24,0.3107243548037304
18,coex_BRO,25,24,0.02083333333333348
19,coex_SKN,31,22,0.14382284382284394
20,coex_ADS,20,18,0.8761609907120742
21,coex_GEJ,34,19,0.15188857801184996
22,coex_BRB,15,16,0.42936827956989276
23,coex_UTR,25,19,0.1736363636363638
24,coex_STM,32,20,0.13774038461538463
25,coex_HRA,33,23,0.08275225594749802
26,coex_PRS,29,17,-0.04153805450216064
27,coex_ATA,27,23,0.0724046140195207
28,coex_FIB,28,17,-0.025793650793650924
29,coex_BRC,33,22,0.08531278077268656
30,coex_ATT,29,22,-0.021038587848932533
31,coex_TNV,11,15,0.1416666666666666
32,coex_SPL,35,22,0.33909774436090245
33,coex_LCL,25,16,-0.09253065774804914
34,coex_CLS,30,19,0.27298850574712663
35,coex_EMC,29,18,-0.010351966873705987
36,coex_CLT,29,20,0.19903206291591036
37,coex_core,38,28,0.3675925925925929
38,coex_WBL,32,24,0.42071759259259256
39,co-essential,17,6,0.5401069518716581
40,GOBP,32,20,1.6910397597254003
41,ppi,49,45,0.2891445940078159
42,reactome_copathway,15,23,0.4335370511841099
43,MP,19,13,1.7307692307692308
44,HP,41,48,0.5291803690508816
45,GI_net,17,14,-0.22926093514328816
46,gene_gene_on_CbG_name_mapped,17,11,0.24178762414056543
47,gene_gene_on_GcG_name_mapped,34,31,0.06749379652605447
48,GOMF,6,4,
