,Layer,Tetralogy_of_Fallot nodes,Familial_multiple_polyposis_syndrome nodes,sAB
0,coex_KDN,37,37,-0.08108108108108092
1,coex_BST,28,30,0.15663080114078332
2,coex_OVR,31,32,0.016129032258064502
3,coex_LNG,35,34,0.22841464944186596
4,coex_ITI,36,32,0.0005585812037425253
5,coex_VGN,35,32,0.08321561833688684
6,coex_HRV,14,14,-0.1071428571428572
7,coex_MSG,37,34,0.07884748874806857
8,coex_ADV,28,24,0.35966117216117244
9,coex_EMS,29,24,0.13711873638344185
10,coex_SMU,26,25,0.01692307692307682
11,coex_ARG,26,28,-0.0025437525437526087
12,coex_TST,37,29,-0.04024400576124698
13,coex_PIT,31,32,0.11290322580645151
14,coex_LVR,27,32,0.0469451654101265
15,coex_THY,29,28,-0.10485264886353818
16,coex_PNC,24,28,-0.07623376623376643
17,coex_ATC,35,32,0.11402038821393656
18,coex_BRO,33,31,0.25482649071358754
19,coex_SKN,32,31,0.06502816180235516
20,coex_ADS,22,24,0.6070226438188495
21,coex_GEJ,30,28,0.03571428571428559
22,coex_BRB,16,20,0.08129084967320255
23,coex_UTR,29,23,-0.09854631507775524
24,coex_STM,33,33,0.06347610722610719
25,coex_HRA,34,28,-0.09901296111665014
26,coex_PRS,32,25,0.19041474654377888
27,coex_ATA,28,27,-0.22949735449735487
28,coex_FIB,23,27,0.18605072463768124
29,coex_BRC,29,28,-0.24783942615158594
30,coex_ATT,32,24,0.06818181818181834
31,coex_TNV,16,17,0.3018099547511315
32,coex_SPL,28,29,0.17333203698902455
33,coex_LCL,21,18,0.14224664224664219
34,coex_CLS,30,27,-0.04219120598430948
35,coex_EMC,29,30,0.06896551724137945
36,coex_CLT,30,32,-0.027385752688172227
37,coex_core,32,33,0.2429195468509986
38,coex_WBL,22,35,0.07575757575757569
39,co-essential,12,12,-0.29904306220095656
40,GOBP,14,15,0.6022727272727275
41,ppi,50,50,0.26
42,reactome_copathway,15,32,0.5728626212497181
43,MP,12,12,0.8926406926406925
44,HP,44,37,0.4837413170746503
45,GI_net,20,28,0.14349881796690322
46,gene_gene_on_CbG_name_mapped,2,15,-0.10392156862745106
47,gene_gene_on_GcG_name_mapped,36,29,-0.004590333038608785
48,GOMF,5,2,
