,Layer,Macular_degeneration nodes,Sarcoma nodes,sAB
0,coex_KDN,31,37,-0.09224041084898071
1,coex_BST,19,34,-0.23405280682282847
2,coex_OVR,26,35,-0.06857344632768347
3,coex_LNG,27,34,-0.22119539983570835
4,coex_ITI,33,33,-0.24242424242424265
5,coex_VGN,29,35,-0.23730158730158735
6,coex_HRV,15,22,-0.1874692874692876
7,coex_MSG,31,39,-0.17569419827484345
8,coex_ADV,23,26,-0.13238004231793044
9,coex_EMS,24,33,-0.05163476874003159
10,coex_SMU,23,28,-0.042717086834733964
11,coex_ARG,23,30,-0.1265734265734264
12,coex_TST,34,38,-0.036850705194358735
13,coex_PIT,29,37,-0.24428234600648402
14,coex_LVR,29,31,-0.028086763070077847
15,coex_THY,22,26,0.07224690203413608
16,coex_PNC,25,30,-0.3060185185185187
17,coex_ATC,26,36,-0.04433842993165005
18,coex_BRO,28,35,-0.20483017579791785
19,coex_SKN,29,32,-0.2569248162803843
20,coex_ADS,24,27,0.06048309178743949
21,coex_GEJ,23,32,-0.11563218390804586
22,coex_BRB,19,21,0.10526315789473673
23,coex_UTR,19,32,-0.15544991511035633
24,coex_STM,24,34,0.042807640297498395
25,coex_HRA,26,31,0.01181818181818195
26,coex_PRS,25,33,0.0245215311004785
27,coex_ATA,22,28,0.3648051948051947
28,coex_FIB,22,32,-0.42179487179487185
29,coex_BRC,28,37,-0.11509947447447466
30,coex_ATT,24,28,-0.22962454212454197
31,coex_TNV,15,19,0.22065600433721855
32,coex_SPL,27,32,-0.21182517263025735
33,coex_LCL,15,29,-0.1503322259136215
34,coex_CLS,29,35,0.0034306195596518485
35,coex_EMC,26,32,-0.09816725436419826
36,coex_CLT,31,33,0.0926655669599219
37,coex_core,32,37,-0.0736928104575163
38,coex_WBL,26,31,-0.252535806016281
39,co-essential,7,21,0.36842105263157876
40,GOBP,20,9,1.1429824561403512
41,ppi,49,50,0.1902411873840446
42,reactome_copathway,6,28,0.2892771804062124
43,MP,24,7,1.5775729646697387
44,HP,43,38,0.5881046284963054
45,GI_net,15,31,0.16111111111111098
46,gene_gene_on_CbG_name_mapped,9,17,-0.22825540472599282
47,gene_gene_on_GcG_name_mapped,33,34,-0.20890866522999985
48,GOMF,7,3,
