,Layer,Erythroderma nodes,Emphysema nodes,sAB
0,coex_KDN,30,37,-0.10082417582417591
1,coex_BST,18,22,-0.2127594627594629
2,coex_OVR,34,29,-0.3545590650053123
3,coex_LNG,28,36,-0.17342156051833468
4,coex_ITI,26,35,-0.05617005944874798
5,coex_VGN,38,34,0.014410225307186053
6,coex_HRV,11,32,0.025334382376081432
7,coex_MSG,36,38,-0.07761870429498408
8,coex_ADV,18,22,-0.4910256410256406
9,coex_EMS,28,28,-0.19642857142857162
10,coex_SMU,19,26,-0.019147869674185358
11,coex_ARG,13,25,-0.24283783783783797
12,coex_TST,23,33,-0.03939393939393954
13,coex_PIT,21,31,-0.271505376344086
14,coex_LVR,25,37,0.12553734061930788
15,coex_THY,22,27,0.09271284271284275
16,coex_PNC,18,31,-0.05111184258649715
17,coex_ATC,22,33,-0.008417508417508213
18,coex_BRO,20,29,-0.0764426460239267
19,coex_SKN,37,35,-0.065359477124183
20,coex_ADS,31,29,-0.15116796440489422
21,coex_GEJ,30,29,-0.1099607581197295
22,coex_BRB,12,23,0.0840062111801243
23,coex_UTR,14,20,-0.0015182186234818928
24,coex_STM,26,36,-0.19354838709677424
25,coex_HRA,18,30,-0.1627717391304344
26,coex_PRS,27,29,-0.05181536216018978
27,coex_ATA,20,24,0.021212121212121016
28,coex_FIB,16,25,-0.1645833333333333
29,coex_BRC,20,32,-0.26113360323886625
30,coex_ATT,23,32,-0.2682983682983684
31,coex_TNV,21,23,0.508116883116883
32,coex_SPL,27,32,-0.1278150502197113
33,coex_LCL,14,21,-0.017316017316017174
34,coex_CLS,26,34,-0.1438241525423729
35,coex_EMC,35,33,0.1626838235294117
36,coex_CLT,27,32,-0.040827256622584684
37,coex_core,38,38,0.07735735735735738
38,coex_WBL,24,29,-0.050707547169811296
39,co-essential,6,7,0.061355311355312026
40,GOBP,22,12,0.7560280221570541
41,ppi,49,49,0.1836734693877553
42,reactome_copathway,23,28,-0.10426421404682262
43,MP,17,16,0.033333333333333215
44,HP,47,35,0.10251315887019041
45,GI_net,20,19,-0.11111111111111116
46,gene_gene_on_CbG_name_mapped,8,16,-0.09375
47,gene_gene_on_GcG_name_mapped,17,35,-0.14505494505494498
48,GOMF,11,5,
