,Layer,Gastrointestinal_hemorrhage nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,39,29,-0.33353874908578685
1,coex_BST,29,20,0.028695408734602523
2,coex_OVR,31,25,-0.039613880742912944
3,coex_LNG,35,30,0.1246973365617432
4,coex_ITI,33,24,-0.1073564593301437
5,coex_VGN,36,27,-0.08699633699633691
6,coex_HRV,17,15,0.2052287581699348
7,coex_MSG,33,28,0.07269711163153803
8,coex_ADV,30,22,0.2361660079051382
9,coex_EMS,28,20,0.16428571428571415
10,coex_SMU,30,19,0.10485141424991062
11,coex_ARG,27,21,-0.033068783068783025
12,coex_TST,34,24,-0.06934584178498993
13,coex_PIT,34,25,-0.015702891326021762
14,coex_LVR,39,31,-0.02316534040671958
15,coex_THY,25,21,-0.16263157894736846
16,coex_PNC,29,23,-0.08228578018682997
17,coex_ATC,33,20,-0.11153846153846159
18,coex_BRO,31,27,-0.16431837844518604
19,coex_SKN,34,23,0.013636363636364113
20,coex_ADS,24,19,0.06479498164014652
21,coex_GEJ,23,21,0.1679841897233203
22,coex_BRB,16,18,-0.375
23,coex_UTR,30,19,-0.012458006718925052
24,coex_STM,34,23,-0.2126015165791717
25,coex_HRA,30,20,-0.25595238095238115
26,coex_PRS,29,24,-0.05867761873780086
27,coex_ATA,28,17,0.26818394024276326
28,coex_FIB,27,19,-0.0443469785575048
29,coex_BRC,30,26,-0.3678787878787879
30,coex_ATT,29,19,-0.16528640441683917
31,coex_TNV,11,13,0.18645484949832758
32,coex_SPL,40,34,0.4014332514332517
33,coex_LCL,25,12,0.027612612612612608
34,coex_CLS,31,23,-0.10633213859020318
35,coex_EMC,33,26,0.14783653846153832
36,coex_CLT,34,24,-0.14942185007974484
37,coex_core,38,30,0.23070175438596463
38,coex_WBL,35,36,0.4680672268907564
39,co-essential,14,10,0.33372183372183395
40,GOBP,21,23,1.4078947368421053
41,ppi,50,50,0.2400000000000002
42,reactome_copathway,28,16,0.02069275753486255
43,MP,16,16,0.7521505376344084
44,HP,48,36,0.35218253968253976
45,GI_net,27,16,0.028455284552845406
46,gene_gene_on_CbG_name_mapped,18,13,0.3231320650675489
47,gene_gene_on_GcG_name_mapped,36,30,-0.006818181818181834
48,GOMF,2,2,
