,Layer,Urinary_bladder_inflammation nodes,Pneumonia nodes,sAB
0,coex_KDN,35,26,-0.004314537921095152
1,coex_BST,18,11,0.23842592592592604
2,coex_OVR,25,15,0.03500000000000014
3,coex_LNG,27,22,0.01676337846550613
4,coex_ITI,33,24,0.1311802232854864
5,coex_VGN,26,11,0.16164241164241178
6,coex_HRV,17,14,0.2752818302387272
7,coex_MSG,27,18,0.1425925925925926
8,coex_ADV,21,18,-0.1807081807081805
9,coex_EMS,21,13,0.09199134199134207
10,coex_SMU,19,10,0.08085299455535377
11,coex_ARG,24,9,0.6256313131313131
12,coex_TST,26,17,-0.02970114700620874
13,coex_PIT,30,18,0.0347222222222221
14,coex_LVR,24,16,-0.08594620958751431
15,coex_THY,22,20,-0.03809523809523796
16,coex_PNC,22,13,0.24035964035964064
17,coex_ATC,29,14,-0.029761904761904656
18,coex_BRO,31,19,0.21894736842105278
19,coex_SKN,26,12,0.17223346828609998
20,coex_ADS,23,11,0.10606060606060641
21,coex_GEJ,19,14,-0.006949191159717483
22,coex_BRB,22,16,0.020633971291865727
23,coex_UTR,18,8,-0.05208333333333348
24,coex_STM,25,16,0.17759146341463428
25,coex_HRA,19,11,-0.12248803827751198
26,coex_PRS,19,16,-0.3211032388663968
27,coex_ATA,27,12,0.15131578947368407
28,coex_FIB,16,12,0.10119047619047628
29,coex_BRC,24,12,-0.15548654244306448
30,coex_ATT,22,10,0.09447004608294929
31,coex_TNV,17,13,-0.05139257294429678
32,coex_SPL,27,22,-0.29633569739952703
33,coex_LCL,15,10,0.25277777777777777
34,coex_CLS,24,13,-0.08441614691614685
35,coex_EMC,24,16,0.013119755911517927
36,coex_CLT,31,21,0.04308998302207123
37,coex_core,29,21,0.05164851784633995
38,coex_WBL,24,24,-0.13405797101449268
39,co-essential,10,5,-0.6392857142857142
40,GOBP,5,15,-0.26704545454545503
41,ppi,50,50,0.04999999999999982
42,reactome_copathway,26,23,-0.05639097744360888
43,MP,7,13,-0.5620300751879697
44,HP,25,22,0.08899419729206981
45,GI_net,22,21,-0.13084415584415554
46,gene_gene_on_CbG_name_mapped,19,10,-0.16388384754990937
47,gene_gene_on_GcG_name_mapped,31,31,-0.22580645161290325
48,GOMF,3,4,
