,Layer,Peritonitis nodes,Gingival_disorder nodes,sAB
0,coex_KDN,37,40,-0.37691295191295193
1,coex_BST,26,21,-0.43030303030302997
2,coex_OVR,25,34,-0.5302691924227316
3,coex_LNG,33,36,-0.37820218996689614
4,coex_ITI,31,38,-0.1682146542827656
5,coex_VGN,29,32,-0.3804144290559639
6,coex_HRV,20,20,-0.7000000000000002
7,coex_MSG,32,35,-0.3173707356076758
8,coex_ADV,22,36,-0.5757575757575757
9,coex_EMS,30,30,-0.9137931034482758
10,coex_SMU,22,32,-0.428766835016835
11,coex_ARG,25,30,-0.30939393939393933
12,coex_TST,32,33,-0.247960372960373
13,coex_PIT,31,34,-0.2558210784313726
14,coex_LVR,33,40,-0.2617521367521367
15,coex_THY,32,33,-0.46875
16,coex_PNC,27,30,-0.3650097465886937
17,coex_ATC,29,29,-0.2586206896551724
18,coex_BRO,31,28,-0.2429411075529173
19,coex_SKN,32,35,-0.4627896613190732
20,coex_ADS,25,27,-0.4947209653092006
21,coex_GEJ,26,28,-0.7287330316742084
22,coex_BRB,25,22,-0.4489555125725335
23,coex_UTR,21,29,-0.43928571428571406
24,coex_STM,32,36,-0.08425245098039236
25,coex_HRA,24,27,-0.414621578099839
26,coex_PRS,28,34,-0.3329831932773111
27,coex_ATA,27,29,-0.2550144300144299
28,coex_FIB,20,27,-0.16355397951142625
29,coex_BRC,25,30,-0.1217369093231162
30,coex_ATT,27,30,-0.3518929346515556
31,coex_TNV,17,21,-0.38441692466460253
32,coex_SPL,36,43,-0.46549242795931045
33,coex_LCL,18,23,-0.36262626262626263
34,coex_CLS,29,31,-0.22089421390999386
35,coex_EMC,33,32,-0.328125
36,coex_CLT,34,35,-0.474025974025974
37,coex_core,34,38,-0.27416637416637424
38,coex_WBL,32,35,-0.29320054945054963
39,co-essential,8,14,0.1053571428571427
40,GOBP,13,18,0.29824103099965216
41,ppi,50,49,-0.25318491032776724
42,reactome_copathway,29,26,-0.15925283156740955
43,MP,10,12,-0.3999999999999999
44,HP,38,46,-0.07303585049580463
45,GI_net,29,23,-0.6539115646258506
46,gene_gene_on_CbG_name_mapped,16,8,-0.02083333333333326
47,gene_gene_on_GcG_name_mapped,30,25,-0.3666666666666667
48,GOMF,5,3,
